lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,train/pearson_r_epoch,valid/pearson_r_epoch,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,1.9995335340499878,19995.34375,1.9995335340499878,0.02300894446671009,nan,nan,nan,0.0,0.012345677241683006,3.895044210366905e-05,1.3101714102958795e-05,2.5848723453236744e-05,0.012345677241683006,2.8590803146362305,1.9995335340499878,0.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.6380767822265625,0.5854427814483643,0,,,,,,,,,,,,,
,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.3862345218658447,23862.369140625,2.3862345218658447,-0.10645318776369095,nan,nan,nan,0.0,0.012345673516392708,0.00017903748084791005,2.6441874069860205e-05,0.00015259564679581672,0.012345673516392708
0.004,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147,1.8974910974502563,18974.91796875,1.8974910974502563,0.057434748858213425,nan,nan,nan,0.0,0.024691354483366013,2.9540400646510534e-05,8.42711961013265e-06,2.1113282855367288e-05,0.024691354483366013,2.1859679222106934,1.8974910974502563,1.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.6902503967285156,0.6491844058036804,1,,,,,,,,,,,,,
,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0699713230133057,20699.724609375,2.0699713230133057,-0.004145445302128792,nan,nan,nan,0.0,0.024691347032785416,5.236614742898382e-05,1.8291751985088922e-05,3.407440453884192e-05,0.024691347032785416
0.004,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,221,1.9455310106277466,19455.32421875,1.9455310106277466,0.04116852954030037,nan,nan,nan,0.0,0.03703703731298447,3.437087798374705e-05,8.940565749071538e-06,2.5430312234675512e-05,0.03703703731298447,2.0176620483398438,1.9455310106277466,2.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.6131339073181152,0.5875921845436096,2,,,,,,,,,,,,,
,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.974217414855957,19742.193359375,1.974217414855957,0.027837878093123436,nan,nan,nan,0.0,0.03703705221414566,5.374495958676562e-05,1.8723518223850988e-05,3.502144681988284e-05,0.03703705221414566
0.004,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,295,1.9096708297729492,19096.75,1.9096708297729492,0.053063977509737015,nan,nan,nan,0.0,0.049382708966732025,8.481648546876386e-05,5.202478132559918e-05,3.279170050518587e-05,0.049382708966732025,1.9420682191848755,1.9096708297729492,3.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.6920475959777832,0.670823335647583,3,,,,,,,,,,,,,
,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.05222487449646,20522.28125,2.05222487449646,0.0009847038891166449,nan,nan,nan,0.0,0.04938269406557083,7.381079194601625e-05,3.489404480205849e-05,3.891675078193657e-05,0.04938269406557083
0.004,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,369,1.9981238842010498,19981.263671875,1.9981238842010498,0.023052824661135674,nan,nan,nan,0.0,0.061728399246931076,4.5251796109369025e-05,1.0489241503819358e-05,3.476254642009735e-05,0.061728399246931076,1.9813071489334106,1.9981238842010498,4.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.6263363361358643,0.6456527709960938,4,,,,,,,,,,,,,
